Arc Center Distance,Diameter,Width,Pitch,Blade Count,Rotational Speed,Thrust
0.25,3,0.25,30,3,1000,0.1287083607
0.25,3,0.25,30,3,1500,0.2936518785
0.25,3,0.25,30,3,2000,0.5050466398
0.25,3,0.25,30,3,2500,0.7579461654
0.25,3,0.25,45,3,500,0.05996964596
0.25,3,0.25,45,3,1000,0.2066873182
0.25,3,0.25,45,3,1500,0.5168010653
0.25,3,0.25,45,3,2000,0.9129573686
0.25,3,0.25,45,3,2500,1.433500303
0.25,3,0.25,60,3,1000,0.1530067279
0.25,3,0.25,60,3,1500,0.3349431117
0.25,3,0.25,60,3,2000,0.5957971469
0.25,3,0.25,60,3,2500,0.9683298719
0.25,3,0.75,30,3,500,0.08596232153
0.25,3,0.75,30,3,1000,0.3551039135
0.25,3,0.75,30,3,1500,0.8009747512
0.25,3,0.75,30,3,2000,1.37637876
0.125,3,0.75,30,3,2094.3951,1.603961724
0.25,3,0.75,30,3,2500,2.207012216
0.25,3,0.75,45,3,1000,0.1962878718
0.25,3,0.75,45,3,1500,0.4523068572
0.25,3,0.75,45,3,2000,0.7920879204
0.25,3,0.75,45,3,2500,1.223228888
0.125,3,0.75,50,3,2094.3951,0.8336437313
0.25,5,0.25,45,3,500,0.2037138531
0.25,5,0.25,45,3,1000,0.839192922
0.25,5,0.25,45,3,1500,1.860818311
0.25,5,0.25,45,3,2000,3.351832597
0.25,5,0.25,45,3,2500,4.740394537
0.25,5,0.25,60,3,500,0.2517545651
0.25,5,0.25,60,3,1000,0.985447114
0.25,5,0.25,60,3,1500,2.236928469
0.25,5,0.25,60,3,2000,3.996361403
0.25,5,0.25,60,3,2500,6.756634781
0.25,5,0.75,30,3,500,0.6154276377
0.25,5,0.75,30,3,1000,2.48129486
0.25,5,0.75,30,3,1500,5.690985522
0.25,5,0.75,30,3,2000,9.898155512
0.125,4,0.75,30,3,2094.3951,5.954256139
0.125,5,0.75,30,3,2094.3951,11.35670103
0.25,5,0.75,30,3,2500,14.99991132
0.25,5,0.75,45,3,500,0.537477952
0.25,5,0.75,45,3,1000,2.132151238
0.25,5,0.75,45,3,1500,4.779895632
0.25,5,0.75,45,3,2000,8.467770076
0.25,5,0.75,45,3,2500,13.03412115
0.25,5,0.75,60,3,500,0.2364712752
0.25,5,0.75,60,3,1000,0.9353150345
0.25,5,0.75,60,3,1500,2.059725605
0.25,5,0.75,60,3,2000,3.742788567
0.125,4,0.75,50,3,2094.3951,3.826755917
0.125,5,0.75,50,3,2094.3951,9.719909729
0.25,5,0.75,60,3,2500,5.736589459
0.25,5,1.25,30,3,500,0.7643251654
0.25,5,1.25,30,3,1000,3.087456578
0.25,5,1.25,30,3,1500,6.407672887
0.25,5,1.25,30,3,2000,11.94508426
0.25,5,1.25,30,3,2500,18.33502345
0.25,5,1.25,45,3,500,0.5262952012
0.25,5,1.25,45,3,1000,2.094475006
0.25,5,1.25,45,3,1500,4.68637375
0.25,5,1.25,45,3,2000,8.153610134
0.25,5,1.25,45,3,2500,12.83761122
0.25,5,1.5,30,3,500,0.6450119756
0.25,5,1.5,30,3,1000,2.630641018
0.25,5,1.5,30,3,1500,5.916630579
0.25,5,1.5,30,3,2000,10.89552065
0.25,5,1.5,30,3,2500,18.12373596
0.25,5,1.5,45,3,2000,6.318120114
0.25,5,1.5,45,3,2500,16.01619285
0.25,7,0.25,45,3,500,0.5237486422
0.25,7,0.25,45,3,1000,2.025720995
0.25,7,0.25,45,3,1500,4.668081427
0.25,7,0.25,60,3,500,0.8294232511
0.25,7,0.25,60,3,1000,3.245664923
0.25,7,0.75,30,3,500,1.580018442
0.25,7,0.75,30,3,1000,6.452911041
0.25,7,0.75,30,3,1500,14.9548565
0.25,7,0.75,30,3,2000,27.20405247
0.125,6,0.75,30,3,2094.3951,20.86279846
0.25,7,0.75,30,3,2500,36.7434978
0.25,7,0.75,45,3,500,1.989125221
0.25,7,0.75,45,3,1000,8.761697492
0.25,7,0.75,45,3,1500,19.01452086
0.25,7,0.75,45,3,2000,33.06257533
0.25,7,0.75,45,3,2500,52.90761735
0.25,7,0.75,60,3,500,0.7534219577
0.25,7,0.75,60,3,1000,2.96489196
0.25,7,0.75,60,3,1500,6.916509406
0.25,7,0.75,60,3,2000,12.63206367
0.125,6,0.75,50,3,2094.3951,22.12484713
0.25,7,0.75,60,3,2500,19.65318414
0.25,7,1.25,30,3,500,2.78801817
0.25,7,1.25,30,3,1000,10.86289265
0.25,7,1.25,30,3,1500,24.76912241
0.25,7,1.25,30,3,2000,45.42995703
0.25,7,1.25,30,3,2500,81.62351144
0.25,7,1.25,45,3,500,2.34097262
0.25,7,1.25,45,3,1000,9.088303759
0.25,7,1.25,45,3,1500,21.3570424
0.25,7,1.25,45,3,2000,38.08154687
0.25,7,1.25,45,3,2500,61.09267712
0.25,7,1.25,60,3,500,0.9186812053
0.25,7,1.25,60,3,1000,3.778620981
0.25,7,1.25,60,3,1500,8.548997161
0.25,7,1.25,60,3,2000,15.26317667
0.25,7,1.25,60,3,2500,23.045643
0.25,7,1.5,30,3,500,2.433108822
0.25,7,1.5,30,3,1000,9.932763995
0.25,7,1.5,30,3,1500,22.51198503
0.25,7,1.5,30,3,2000,41.04765638
0.25,7,1.5,30,3,2500,63.08597305
0.25,7,1.5,45,3,500,2.607540748
0.25,7,1.5,45,3,1000,10.39803836
0.25,7,1.5,45,3,1500,23.73280245
0.25,7,1.5,45,3,2000,48.6704542
0.25,7,1.5,45,3,2500,75.593957
0.25,9,0.25,45,3,500,1.139786853
0.25,9,0.25,45,3,1000,3.664753043
0.25,9,0.25,60,3,500,1.2527961
0.25,9,0.25,60,3,1000,4.639477102
0.25,9,0.75,30,3,1000,13.71249026
0.25,9,0.75,30,3,1500,31.32589782
0.25,9,0.75,30,3,2000,45.73051264
0.25,9,0.75,30,3,2500,63.68871472
0.25,9,0.75,45,3,500,3.930630183
0.25,9,0.75,45,3,1000,17.70169892
0.25,9,0.75,45,3,1500,39.8315348
0.25,9,0.75,45,3,2000,72.35484945
0.25,9,0.75,45,3,2500,111.6316456
0.25,9,0.75,60,3,500,3.40919108
0.25,9,0.75,60,3,1000,16.61176315
0.25,9,0.75,60,3,1500,26.37270623
0.25,9,0.75,60,3,2000,33.48050235
0.25,9,0.75,60,3,2500,107.3488243
0.25,9,1.25,30,3,500,5.571663494
0.25,9,1.25,30,3,1500,37.44777064
0.25,9,1.25,30,3,2000,89.56626849
0.25,9,1.25,30,3,2500,110.8527617
0.25,9,1.25,45,3,500,5.663012311
0.25,9,1.25,45,3,1000,23.20150941
0.25,9,1.25,45,3,1500,52.09257303
0.25,9,1.25,45,3,2000,86.40196036
0.25,9,1.25,45,3,2500,143.2572376
0.25,9,1.25,60,3,500,3.475602154
0.25,9,1.25,60,3,1000,12.9157583
0.25,9,1.25,60,3,1500,32.16389626
0.25,9,1.25,60,3,2000,54.04356367
0.25,9,1.25,60,3,2500,81.95044901
0.25,9,1.5,30,3,500,4.451258422
0.25,9,1.5,30,3,1000,34.60658026
0.25,9,1.5,30,3,1500,73.49922204
0.25,9,1.5,30,3,2000,118.2264046
0.25,9,1.5,30,3,2500,168.1776575
0.25,9,1.5,45,3,500,6.804407952
0.25,9,1.5,45,3,1000,28.20666029
0.25,9,1.5,45,3,1500,61.6150873
0.25,9,1.5,45,3,2000,114.1915323
0.25,9,1.5,45,3,2500,168.5416475
0.25,9,1.5,60,3,500,3.033598237
0.25,9,1.5,60,3,1000,12.05744118
0.25,9,1.5,60,3,1500,27.70396681
0.25,9,1.5,60,3,2500,50.10739824
0.25,11,0.25,60,3,500,1.813741043
0.25,11,0.75,30,3,500,5.441275449
0.25,11,0.75,30,3,1000,22.09964584
0.25,11,0.75,45,3,500,7.672642692
0.25,11,0.75,45,3,1000,17.37478931
0.25,11,0.75,45,3,1500,55.7015168
0.25,11,0.75,45,3,2000,119.5394823
0.25,11,0.75,60,3,500,7.480047014
0.25,11,0.75,60,3,1000,33.23062312
0.25,11,0.75,60,3,1500,51.26850377
0.25,11,0.75,60,3,2000,81.92875431
0.25,11,1.25,30,3,500,10.59935784
0.25,11,1.25,30,3,1000,27.04562626
0.25,11,1.25,30,3,1500,53.7742994
0.25,11,1.25,30,3,2000,134.8313709
0.25,11,1.25,45,3,500,9.670654237
0.25,11,1.25,45,3,1000,34.46444031
0.25,11,1.25,45,3,1500,78.35586029
0.25,11,1.25,45,3,2000,216.2841808
0.25,11,1.25,60,3,500,5.907830724
0.25,11,1.25,60,3,1000,24.05502468
0.25,11,1.25,60,3,1500,37.51100849
0.25,11,1.25,60,3,2000,93.6229737
0.25,11,1.5,30,3,1000,40.75528112
0.25,11,1.5,30,3,2000,163.7494969
0.25,11,1.5,45,3,1000,60.91674791
0.25,11,1.5,45,3,1500,90.15110123
0.25,11,1.5,45,3,2000,230.9471402
0.25,11,1.5,60,3,500,8.338631886
0.25,11,1.5,60,3,1000,34.41891806
0.25,11,1.5,60,3,1500,77.67973326
0.25,11,1.5,60,3,2000,128.6269307
0.75,5,0.25,30,3,500,0.1290864728
0.75,5,0.25,30,3,1000,0.5352996705
0.75,5,0.25,30,3,1500,1.196291553
0.75,5,0.25,30,3,2000,2.161509974
0.75,5,0.25,30,3,2500,3.408365871
0.75,5,0.25,45,3,500,0.1512370143
0.75,5,0.25,45,3,1000,0.584630914
0.75,5,0.25,45,3,1500,1.617251421
0.75,5,0.25,45,3,2000,2.32424121
0.75,5,0.25,45,3,2500,3.657716103
0.75,5,0.25,60,3,500,0.1461484636
0.75,5,0.25,60,3,1000,0.5977819601
0.75,5,0.25,60,3,1500,1.348157236
0.75,5,0.25,60,3,2000,2.372311335
0.75,5,0.25,60,3,2500,3.695494519
0.75,5,0.75,30,3,500,0.4074756669
0.75,5,0.75,30,3,1000,1.606978089
0.75,5,0.75,30,3,1500,3.628294454
0.75,5,0.75,30,3,2000,6.402317404
0.75,5,0.75,30,3,2500,10.21437175
0.75,5,0.75,45,3,500,0.2264734845
0.75,5,0.75,45,3,1000,0.8982156604
0.75,5,0.75,45,3,1500,1.997636502
0.75,5,0.75,45,3,2000,3.516712852
0.75,5,0.75,45,3,2500,5.44572867
0.75,5,1.25,30,3,500,0.5442271245
0.75,5,1.25,30,3,1000,2.240719714
0.75,5,1.25,30,3,1500,4.822123196
0.75,5,1.25,30,3,2000,8.775374517
0.75,5,1.25,30,3,2500,13.85887508
0.75,5,1.25,45,3,500,0.2878917592
0.75,5,1.25,45,3,1000,1.138993078
0.75,5,1.25,45,3,1500,2.504318703
0.75,5,1.25,45,3,2000,4.550247761
0.75,5,1.25,45,3,2500,7.078014497
0.75,5,1.5,30,3,500,0.449305975
0.75,5,1.5,30,3,1000,1.807012201
0.75,5,1.5,30,3,1500,4.339313368
0.75,5,1.5,30,3,2000,7.524058598
0.75,5,1.5,30,3,2500,12.70846192
0.75,7,0.25,30,3,500,0.3873506775
0.75,7,0.25,30,3,1000,1.310722789
0.75,7,0.25,30,3,1500,3.29728587
0.75,7,0.25,30,3,2000,5.644315288
0.75,7,0.25,30,3,2500,7.799996282
0.75,7,0.25,45,3,500,0.5150351732
0.75,7,0.25,45,3,1000,1.991023692
0.75,7,0.25,45,3,1500,4.453746484
0.75,7,0.25,45,3,2000,7.715894037
0.75,7,0.25,45,3,2500,10.94601757
0.75,7,0.25,60,3,500,0.4925428148
0.75,7,0.25,60,3,1000,1.914264499
0.75,7,0.25,60,3,1500,4.389249354
0.75,7,0.25,60,3,2000,8.550724414
0.75,7,0.25,60,3,2500,16.83580052
0.75,7,0.75,30,3,500,1.612053536
0.75,7,0.75,30,3,1000,6.765539282
0.75,7,0.75,30,3,1500,13.57744768
0.75,7,0.75,30,3,2000,27.70932561
0.75,7,0.75,30,3,2500,33.52508525
0.75,7,0.75,45,3,500,1.760311479
0.75,7,0.75,45,3,1000,7.523732775
0.75,7,0.75,45,3,1500,15.7861707
0.75,7,0.75,45,3,2000,32.18080645
0.75,7,0.75,45,3,2500,48.88274725
0.75,7,0.75,60,3,500,0.5999218762
0.75,7,0.75,60,3,1000,2.39355845
0.75,7,0.75,60,3,1500,5.225139595
0.75,7,0.75,60,3,2000,9.946873676
0.75,7,0.75,60,3,2500,15.618822
0.75,7,1.25,30,3,500,2.596139518
0.75,7,1.25,30,3,1000,10.453382
0.75,7,1.25,30,3,1500,22.63548628
0.75,7,1.25,30,3,2000,47.18812767
0.75,7,1.25,30,3,2500,76.76735997
0.75,7,1.25,45,3,500,1.693478268
0.75,7,1.25,45,3,1000,6.9795412
0.75,7,1.25,45,3,1500,15.7782203
0.75,7,1.25,45,3,2000,28.93875989
0.75,7,1.25,45,3,2500,45.68928385
0.75,7,1.5,30,3,500,2.581722043
0.75,7,1.5,30,3,1000,10.4617482
0.75,7,1.5,30,3,1500,25.15664962
0.75,7,1.5,30,3,2000,49.50823731
0.75,7,1.5,30,3,2500,81.47703851
0.75,7,1.5,45,3,500,1.855930382
0.75,7,1.5,45,3,1000,7.584651943
0.75,7,1.5,45,3,1500,16.11595443
0.75,7,1.5,45,3,2000,31.30679246
0.75,9,0.25,45,3,500,0.9882747019
0.75,9,0.25,45,3,1000,3.849336033
0.75,9,0.25,45,3,1500,8.272157394
0.75,9,0.25,60,3,500,1.426465531
0.75,9,0.25,60,3,1000,5.473047667
0.75,9,0.25,60,3,1500,12.39470404
0.75,9,0.25,60,3,2000,11.99770226
0.75,9,0.75,30,3,500,3.301624517
0.75,9,0.75,30,3,1000,12.96525968
0.75,9,0.75,30,3,1500,28.57921708
0.75,9,0.75,30,3,2500,68.32774542
0.75,9,0.75,45,3,500,4.000131269
0.75,9,0.75,45,3,1000,15.97610501
0.75,9,0.75,45,3,1500,38.87029313
0.75,9,0.75,45,3,2000,69.62606105
0.75,9,0.75,45,3,2500,115.7334805
0.75,9,0.75,60,3,500,2.781085405
0.75,9,0.75,60,3,1000,11.90111539
0.75,9,0.75,60,3,1500,27.02442027
0.75,9,0.75,60,3,2000,48.5249347
0.75,9,0.75,60,3,2500,74.81991846
0.75,9,1.25,30,3,500,3.672931395
0.75,9,1.25,30,3,1000,25.87139579
0.75,9,1.25,30,3,1500,52.87812714
0.75,9,1.25,30,3,2000,94.07533142
0.75,9,1.25,30,3,2500,115.0707264
0.75,9,1.25,45,3,500,5.496683205
0.75,9,1.25,45,3,1000,21.28862093
0.75,9,1.25,45,3,1500,45.68561789
0.75,9,1.25,45,3,2000,51.99097668
0.75,9,1.25,45,3,2500,128.7201044
0.75,9,1.25,60,3,500,2.418499878
0.75,9,1.25,60,3,1000,10.5385862
0.75,9,1.25,60,3,1500,23.2834547
0.75,9,1.25,60,3,2000,39.11130757
0.75,9,1.25,60,3,2500,58.54800497
0.75,9,1.5,30,3,500,8.138060189
0.75,9,1.5,30,3,1000,30.87404825
0.75,9,1.5,30,3,1500,66.58854095
0.75,9,1.5,30,3,2000,123.7150423
0.75,9,1.5,30,3,2500,179.3744143
0.75,9,1.5,45,3,500,5.883848154
0.75,9,1.5,45,3,1000,22.27091806
0.75,9,1.5,45,3,1500,50.68597071
0.75,9,1.5,45,3,2500,142.4885157
0.75,9,1.5,60,3,500,1.972854039
0.75,9,1.5,60,3,1000,8.349338136
0.75,9,1.5,60,3,1500,18.22309049
0.75,11,0.25,60,3,500,2.232724191
0.75,11,0.25,60,3,1000,8.227863897
0.75,11,0.75,30,3,500,6.361568782
0.75,11,0.75,30,3,1000,21.22698152
0.75,11,0.75,30,3,1500,42.35480609
0.75,11,0.75,45,3,500,6.413791598
0.75,11,0.75,45,3,1000,35.34440268
0.75,11,0.75,60,3,500,4.246213618
0.75,11,0.75,60,3,1000,28.2222319
0.75,11,0.75,60,3,1500,39.08485652
0.75,11,0.75,60,3,2000,119.7066765
0.75,11,1.25,30,3,500,9.726278232
0.75,11,1.25,30,3,1000,36.35884376
0.75,11,1.25,30,3,1500,59.0738604
0.75,11,1.25,30,3,2000,185.9878542
0.75,11,1.25,45,3,500,6.947869877
0.75,11,1.25,45,3,1000,53.00814365
0.75,11,1.25,45,3,1500,70.47994174
0.75,11,1.25,45,3,2000,109.2439681
0.75,11,1.25,60,3,500,5.386057507
0.75,11,1.25,60,3,1000,21.72581197
0.75,11,1.25,60,3,1500,43.9445207
0.75,11,1.25,60,3,2000,75.29202871
0.75,11,1.5,30,3,500,6.842242596
0.75,11,1.5,30,3,1000,47.60572681
0.75,11,1.5,30,3,2000,200.0209201
0.75,11,1.5,45,3,500,11.58581212
0.75,11,1.5,45,3,1000,48.34644979
0.75,11,1.5,45,3,1500,104.6679842
0.75,11,1.5,45,3,2000,194.0267832
0.75,11,1.5,60,3,500,5.66771069
0.75,11,1.5,60,3,1000,22.64022798
0.75,11,1.5,60,3,1500,49.4220694
0.75,11,1.5,60,3,2000,84.15068525
1.25,5,0.75,45,3,2000,1.66777402
1.25,5,0.75,45,3,2500,2.526486892
1.25,5,1.25,30,3,500,0.1870657175
1.25,5,1.25,30,3,1000,0.8151257433
1.25,5,1.25,30,3,1500,1.665467727
1.25,5,1.25,30,3,2000,2.940311045
1.25,5,1.25,30,3,2500,4.581276535
1.25,7,0.25,30,3,500,0.4735294194
1.25,7,0.25,30,3,1000,1.606145639
1.25,7,0.25,30,3,1500,4.349850384
1.25,7,0.25,30,3,2000,7.199720433
1.25,7,0.25,30,3,2500,11.72101242
1.25,7,0.25,45,3,500,0.506564888
1.25,7,0.25,45,3,1000,1.995789747
1.25,7,0.25,45,3,1500,4.784140289
1.25,7,0.25,45,3,2000,7.751661077
1.25,7,0.25,45,3,2500,12.04460209
1.25,7,0.25,60,3,500,0.2269674799
1.25,7,0.25,60,3,1000,0.9084146816
1.25,7,0.25,60,3,1500,2.018116062
1.25,7,0.25,60,3,2000,3.583573767
1.25,7,0.25,60,3,2500,5.461187841
1.25,7,0.75,30,3,500,1.265686276
1.25,7,0.75,30,3,1000,5.071721567
1.25,7,0.75,30,3,1500,11.15273069
1.25,7,0.75,30,3,2000,20.79076828
1.25,7,0.75,30,3,2500,31.81770447
1.25,7,0.75,45,3,500,0.4125794488
1.25,7,0.75,45,3,1000,1.633648481
1.25,7,0.75,45,3,1500,4.247145847
1.25,7,0.75,45,3,2000,7.757678146
1.25,7,0.75,45,3,2500,12.21254081
1.25,7,0.75,60,3,500,0.5062106067
1.25,7,0.75,60,3,1000,1.955792225
1.25,7,0.75,60,3,1500,4.265882759
1.25,7,0.75,60,3,2000,8.066212902
1.25,7,0.75,60,3,2500,12.31024028
1.25,7,1.25,30,3,500,1.684999317
1.25,7,1.25,30,3,1000,6.638668147
1.25,7,1.25,30,3,1500,15.01854828
1.25,7,1.25,30,3,2000,26.41796404
1.25,7,1.25,30,3,2500,40.40914364
1.25,7,1.25,45,3,500,0.9437657697
1.25,7,1.25,45,3,1000,3.809726749
1.25,7,1.25,45,3,1500,7.691441953
1.25,7,1.25,45,3,2000,14.98001954
1.25,7,1.25,45,3,2500,21.7126954
1.25,7,1.5,30,3,500,1.6646066
1.25,7,1.5,30,3,1000,6.509010975
1.25,7,1.5,30,3,1500,14.69804017
1.25,7,1.5,30,3,2000,34.82377221
1.25,7,1.5,30,3,2500,62.95948646
1.25,7,1.5,45,3,500,0.8370265755
1.25,7,1.5,45,3,1000,3.374736099
1.25,7,1.5,45,3,1500,8.084240803
1.25,7,1.5,45,3,2000,13.29004419
1.25,9,0.25,30,3,500,1.03805778
1.25,9,0.25,30,3,1000,4.306163843
1.25,9,0.25,30,3,1500,7.65261491
1.25,9,0.25,45,3,500,1.197328467
1.25,9,0.25,45,3,1000,4.650895989
1.25,9,0.25,45,3,1500,8.554002121
1.25,9,0.25,45,3,2000,16.08614713
1.25,9,0.25,45,3,2500,20.33265024
1.25,9,0.25,60,3,500,1.209357038
1.25,9,0.25,60,3,1000,4.721772602
1.25,9,0.25,60,3,1500,10.98407329
1.25,9,0.25,60,3,2000,18.96612819
1.25,9,0.25,60,3,2500,27.94640936
1.25,9,0.75,30,3,500,1.884218812
1.25,9,0.75,30,3,1000,10.63041307
1.25,9,0.75,30,3,1500,24.5610395
1.25,9,0.75,30,3,2000,42.11897933
1.25,9,0.75,30,3,2500,54.27021218
1.25,9,0.75,45,3,500,2.795242616
1.25,9,0.75,45,3,1000,13.86953235
1.25,9,0.75,45,3,1500,29.74454078
1.25,9,0.75,45,3,2000,57.90599765
1.25,9,0.75,45,3,2500,88.48831971
1.25,9,0.75,60,3,1500,12.52083025
1.25,9,0.75,60,3,2500,33.06220974
1.25,9,1.25,30,3,500,3.451044261
1.25,9,1.25,30,3,1000,15.76903194
1.25,9,1.25,30,3,1500,31.62833741
1.25,9,1.25,30,3,2000,65.84662949
1.25,9,1.25,30,3,2500,102.6928333
1.25,9,1.25,45,3,500,4.43516053
1.25,9,1.25,45,3,1000,15.63539333
1.25,9,1.25,45,3,1500,38.64120391
1.25,9,1.25,45,3,2000,64.61953063
1.25,9,1.25,45,3,2500,103.901644
1.25,9,1.25,60,3,500,2.096816012
1.25,9,1.25,60,3,1000,8.49745379
1.25,9,1.25,60,3,1500,18.24422239
1.25,9,1.25,60,3,2000,29.34189592
1.25,9,1.25,60,3,2500,41.22939652
1.25,9,1.5,30,3,500,4.741225946
1.25,9,1.5,30,3,1000,19.31135628
1.25,9,1.5,30,3,1500,37.71642126
1.25,9,1.5,30,3,2000,75.35999803
1.25,9,1.5,30,3,2500,100.6249116
1.25,9,1.5,45,3,500,3.395513718
1.25,9,1.5,45,3,1000,19.65004062
1.25,9,1.5,45,3,2500,93.79771105
1.25,11,0.25,30,3,1000,7.700822286
1.25,11,0.25,45,3,1000,8.876914694
1.25,11,0.25,45,3,1500,17.36049968
1.25,11,0.25,60,3,500,1.703686541
1.25,11,0.25,60,3,1000,6.831246648
1.25,11,0.25,60,3,1500,23.36559148
1.25,11,0.25,60,3,2000,34.44870827
1.25,11,0.75,30,3,500,4.742251848
1.25,11,0.75,30,3,1000,19.63407718
1.25,11,0.75,30,3,1500,32.91610218
1.25,11,0.75,30,3,2000,64.61892722
1.25,11,0.75,45,3,500,5.138817974
1.25,11,0.75,45,3,1000,27.3076437
1.25,11,0.75,45,3,2000,107.9842647
1.25,11,0.75,60,3,500,2.745743671
1.25,11,0.75,60,3,1000,17.31463688
1.25,11,0.75,60,3,1500,34.5537556
1.25,11,1.25,30,3,500,9.902767126
1.25,11,1.25,30,3,1000,34.31911319
1.25,11,1.25,30,3,1500,76.06604149
1.25,11,1.25,30,3,2000,116.9122479
1.25,11,1.25,45,3,500,8.858137372
1.25,11,1.25,45,3,1000,44.78981663
